,Filial ,Código,Descrição,Embalagem,Estoque,Comprador ,Quant.,Validade,Preço c/ST,Status,UF,Custo Médio,Custo Total,Classe,MULTIPLO,VENDAS
,3B,123802,LOMBO TIPO CANADENSE +-1KG RF CERATTI,KG,#ERROR!,#ERROR!,"5,84",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 30,662016"," R$  179,10 ",ATENÇÃO,,0
,3B,5462,"LINGUICA CALABRESA DEF CURVA 4,5KG PERDI",KG,#ERROR!,#ERROR!,"27,00",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 15,782332"," R$  426,12 ",ATENÇÃO,,0
,3B,297,BACON MANTA RF REZENDE,KG,#ERROR!,#ERROR!,"4,53",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 20,317455"," R$  92,04 ",ATENÇÃO,,0
,3B,160423,TEMP PIPOCA CEB/ALHO/SALSA 80G FRITZ,UN,#ERROR!,#ERROR!,"12,00",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 4,6816"," R$  56,18 ",ATENÇÃO,,0
,3B,116914,TAPIOCA GRANULADA 1KG NUANCE,PT,#ERROR!,#ERROR!,"9,00",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 8,983186"," R$  80,85 ",ATENÇÃO,,0
,3B,160422,TEMP PIPOCA PIZZA 80G FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"12,00",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 3,1944"," R$  38,33 ",ATENÇÃO,,0
,3B,160438,TEMP PIPOCA PIMENTA SUAVE 80G FRITZ E FR,UN,#ERROR!,#ERROR!,"12,00",29/03/2026,#ERROR!,45,"CUIABÁ, VARZEA e INTERIOR"," 1,4787"," R$  17,74 ",ATENÇÃO,,0
,3B,116641,GUIOZA C/RECH SUINO 10X24G KG LONG WA,BJ,#ERROR!,#ERROR!,"7,00",30/03/2026,#ERROR!,46,"CUIABÁ, VARZEA e INTERIOR"," 8,5467"," R$  59,83 ",ATENÇÃO,,0
,3B,159022,MAIONESE SACHE 144X7G HEINZ,CX,#ERROR!,#ERROR!,"353,00",30/03/2026,#ERROR!,46,"CUIABÁ, VARZEA e INTERIOR"," 16,616683"," R$  5.865,69 ",ATENÇÃO,,0
,3B,137166,"MOLHO TOMATE PIZZA POUCH 1,7KG FUGINI",SH,#ERROR!,#ERROR!,"78,00",30/03/2026,,46,"CUIABÁ, VARZEA e INTERIOR"," 7,015105"," R$  547,18 ",ATENÇÃO,,#ERROR!
,3B,135866,MISTURA BOLO BAUNIL 400G FRITZ E FRIDA,PT,#ERROR!,#ERROR!,"21,00",30/03/2026,#ERROR!,46,"CUIABÁ, VARZEA e INTERIOR"," 2,926259"," R$  61,45 ",ATENÇÃO,,0
,3B,155737,PUDIM BAUNILHA S/LEITE 50G FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"36,00",30/03/2026,#ERROR!,46,"CUIABÁ, VARZEA e INTERIOR"," 0,9768"," R$  35,16 ",ATENÇÃO,,0
,3B,4428,"APRESUNTADO RETANG +-3,5KG RF SEARA",KG,#ERROR!,#ERROR!,"60,72",31/03/2026,#ERROR!,47,"CUIABÁ, VARZEA e INTERIOR"," 13,697049"," R$  831,68 ",ATENÇÃO,,0
,3B,136578,QUEIJO MUSSARELA +-4KG RF CHEF&CO,KG,#ERROR!,#ERROR!,"1097,65",31/03/2026,#ERROR!,47,"CUIABÁ, VARZEA e INTERIOR"," 21,434284"," R$  23.527,34 ",ATENÇÃO,,0
,3B,136578,QUEIJO MUSSARELA +-4KG RF CHEF&CO,KG,#ERROR!,#ERROR!,"1097,65",31/03/2026,#ERROR!,47,"CUIABÁ, VARZEA e INTERIOR"," 21,434284"," R$  23.527,34 ",ATENÇÃO,,0
,3B,113390,HAMBURGUER BV PICANHA 36X56G BRASA,KG,#ERROR!,#ERROR!,"12,10",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 12,0435"," R$  145,68 ",ATENÇÃO,,0
,3B,692,COB P/PIZZA SABOR MUSSARELA 2KG MOZZANA,KG,#ERROR!,#ERROR!,"374,00",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 17,216594"," R$  6.439,01 ",ATENÇÃO,,0
,3B,120764,TEMP PAPRICA PICANTE 250G NUANCE,PT,#ERROR!,#ERROR!,"99,00",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 4,497246"," R$  445,23 ",ATENÇÃO,,0
,3B,92121,MOLHO PIMENTA C/AZEITE VD 50ML GALLO,GF,#ERROR!,#ERROR!,"12,00",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 8,7648"," R$  105,18 ",ATENÇÃO,,0
,3B,5239,MOLHO BARBECUE 1KG HEMMER,UN,#ERROR!,#ERROR!,"21,00",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 12,6544"," R$  265,74 ",ATENÇÃO,,0
,3B,162325,CASTANHA PARA INT 250G NUANCE,PO,#ERROR!,#ERROR!,"12,00",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 36,414509"," R$  436,97 ",ATENÇÃO,,0
,3B,162316,DAMASCO SECO TURCO 300G NUANCE,PO,#ERROR!,#ERROR!,"2,00",01/04/2026,#ERROR!,48,"CUIABÁ, VARZEA e INTERIOR"," 20,2647"," R$  40,53 ",ATENÇÃO,,0
,3B,158734,"QUEIJO MUSSARELA +-3,5KG RF CHEF&CO I",KG,#ERROR!,#ERROR!,"17,52",02/04/2026,#ERROR!,49,"CUIABÁ, VARZEA e INTERIOR"," 32,041693"," R$  561,37 ",ATENÇÃO,,0
,3B,162312,PISTACHE CRU S/CASCA 250G NUANCE,PO,#ERROR!,#ERROR!,"16,00",02/04/2026,#ERROR!,49,"CUIABÁ, VARZEA e INTERIOR"," 49,260793"," R$  788,17 ",ATENÇÃO,,0
,3B,95364,OLEO SOJA 18L BAG VILA VELHA,#N/A,#ERROR!,#ERROR!,"1,00",02/04/2026,#ERROR!,49,"CUIABÁ, VARZEA e INTERIOR"," 135,493312"," R$  135,49 ",ATENÇÃO,,0
,3B,90746,SALAME INT +-700G PERDIGAO,KG,#ERROR!,#ERROR!,"7,32",03/04/2026,#ERROR!,50,"CUIABÁ, VARZEA e INTERIOR"," 39,996247"," R$  292,77 ",ATENÇÃO,,0
,3B,105095,EMP STEAK FGO 100G CG SEARA,UN,#ERROR!,#ERROR!,"144,00",03/04/2026,#ERROR!,50,"CUIABÁ, VARZEA e INTERIOR"," 1,051263"," R$  151,38 ",ATENÇÃO,,0
,3B,159436,PAO HAMB TRAD 4X75G ARO 11 CG FAZ E FORN,PT,#ERROR!,#ERROR!,"40,00",03/04/2026,#ERROR!,50,"CUIABÁ, VARZEA e INTERIOR"," 4,338032"," R$  173,52 ",ATENÇÃO,,0
,3B,154767,LEITE COND SEMI DESN 6% 5KG PIRACANJUBA,BG,#ERROR!,#ERROR!,"208,00",03/04/2026,#ERROR!,50,"CUIABÁ, VARZEA e INTERIOR"," 48,739556"," R$  10.137,83 ",ATENÇÃO,,0
,3B,157361,PETIT GATEAU CHOC 2X6X90G CG CHEF&CO,UN,#ERROR!,#ERROR!,"36,00",04/04/2026,#ERROR!,51,"CUIABÁ, VARZEA e INTERIOR"," 3,3759"," R$  121,53 ",ATENÇÃO,,0
,3B,105141,ISCAS TILAPIA EMPANADA 300G CG COPACOL,PT,#ERROR!,#ERROR!,"50,00",04/04/2026,#ERROR!,51,"CUIABÁ, VARZEA e INTERIOR"," 12,524589"," R$  626,23 ",ATENÇÃO,,0
,3B,160037,FARINHA ROSCA 5KG NUANCE,PT,#ERROR!,#ERROR!,"32,00",04/04/2026,,51,"CUIABÁ, VARZEA e INTERIOR"," 29,544455"," R$  945,42 ",ATENÇÃO,,0
,3B,137403,MARGARINA C/SAL 1KG RF DELICIA,UN,#ERROR!,#ERROR!,"67,00",05/04/2026,#ERROR!,52,"CUIABÁ, VARZEA e INTERIOR"," 9,523196"," R$  638,05 ",ATENÇÃO,,0
,3B,105687,LINGUICA SUINA 5KG CG FRIMESA,KG,#ERROR!,#ERROR!,"30,00",05/04/2026,#ERROR!,52,"CUIABÁ, VARZEA e INTERIOR"," 10,3416"," R$  310,25 ",ATENÇÃO,,0
,3B,162435,GUIOZA KOREA CAMARÃO 315G CG BIBIGO,PT,#ERROR!,#ERROR!,"186,00",06/04/2026,#ERROR!,53,"CUIABÁ, VARZEA e INTERIOR"," 12,808775"," R$  2.382,43 ",ATENÇÃO,,0
,3B,134081,QUEIJO MUSSARELA FAT IF 4KG CHEF&CO,KG,#ERROR!,#ERROR!,"0,00",06/04/2026,#ERROR!,53,"CUIABÁ, VARZEA e INTERIOR"," 24,18"," R$  0,05 ",ATENÇÃO,,0
,3B,134227,QUEIJO PRATO FAT IF 3KG CHEF&CO,KG,#ERROR!,#ERROR!,"186,00",06/04/2026,#ERROR!,53,"CUIABÁ, VARZEA e INTERIOR"," 26,102"," R$  4.854,97 ",ATENÇÃO,,0
,3B,92126,"MAIONESE GRILL DEF POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"164,00",06/04/2026,#ERROR!,53,"CUIABÁ, VARZEA e INTERIOR"," 23,585296"," R$  3.867,99 ",ATENÇÃO,,0
,3B,73754,BACON EM PEDACOS +-20KG CG EXCELENCIA,KG,#ERROR!,#ERROR!,"30,37",07/04/2026,#ERROR!,54,"CUIABÁ, VARZEA e INTERIOR"," 19,065186"," R$  578,93 ",ATENÇÃO,,0
,3B,160886,BROWNIE C/NOZES 240G CG CHEF&CO,UN,#ERROR!,#ERROR!,"50,00",07/04/2026,#ERROR!,54,"CUIABÁ, VARZEA e INTERIOR"," 10,287295"," R$  514,36 ",ATENÇÃO,,#ERROR!
,3B,88848,"QUEIJO TP GORGONZOLA +-2,5KG RF YEMA",KG,#ERROR!,#ERROR!,"2,83",07/04/2026,#ERROR!,54,"CUIABÁ, VARZEA e INTERIOR"," 44,274874"," R$  125,08 ",ATENÇÃO,,0
,3B,132553,QUEIJO GORGONZOLA +-3KG RF OPERA,KG,#ERROR!,#ERROR!,"18,35",07/04/2026,#ERROR!,54,"CUIABÁ, VARZEA e INTERIOR"," 43,422569"," R$  796,98 ",ATENÇÃO,,0
,3B,134952,MAIONESE BD 3KG FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"12,00",07/04/2026,#ERROR!,54,"CUIABÁ, VARZEA e INTERIOR"," 21,532354"," R$  258,39 ",ATENÇÃO,,0
,3B,92165,"MOLHO DE PIMENTA SWEET CHILI 1,1KG JUNIO",UN,#ERROR!,#ERROR!,"5,00",07/04/2026,#ERROR!,54,"CUIABÁ, VARZEA e INTERIOR"," 10,928931"," R$  54,64 ",ATENÇÃO,,#ERROR!
,3B,296,"LINGUICA CALABRESA DEF CURVA 2,5KG SADIA",KG,#ERROR!,#ERROR!,"10,00",08/04/2026,#ERROR!,55,"CUIABÁ, VARZEA e INTERIOR"," 15,5207"," R$  155,21 ",ATENÇÃO,,0
,3B,71944,LINGUICA CALABRESA 5KG SADIA,KG,#ERROR!,#ERROR!,"80,00",08/04/2026,#ERROR!,55,"CUIABÁ, VARZEA e INTERIOR"," 15,5207"," R$  1.241,66 ",ATENÇÃO,,0
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"350,00",08/04/2026,#ERROR!,55,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  1.914,14 ",ATENÇÃO,,0
,3B,153792,GRAO DE BICO PREMIUM 400G FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"142,00",08/04/2026,#ERROR!,55,"CUIABÁ, VARZEA e INTERIOR"," 4,005499"," R$  568,78 ",ATENÇÃO,,#ERROR!
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"430,00",09/04/2026,#ERROR!,56,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  2.351,65 ",ATENÇÃO,,#ERROR!
,3B,11219,"CREAM CHEESE BD 3,6KG CATUPIRY",BD,#ERROR!,#ERROR!,"4,00",09/04/2026,#ERROR!,56,"CUIABÁ, VARZEA e INTERIOR"," 104,9226"," R$  419,69 ",ATENÇÃO,,0
,3B,134953,MAIONESE SACHE 1KG FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"24,00",09/04/2026,#ERROR!,56,"CUIABÁ, VARZEA e INTERIOR"," 6,550682"," R$  157,22 ",ATENÇÃO,,0
,3B,92127,"MOLHO HONEY MUSTARD POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"2,00",09/04/2026,#ERROR!,56,"CUIABÁ, VARZEA e INTERIOR"," 19,762512"," R$  39,53 ",ATENÇÃO,,0
,3B,160038,ALGA NORI GOLD PCT 50F 140G YUMART,PT,#ERROR!,#ERROR!,"118,00",09/04/2026,#ERROR!,56,"CUIABÁ, VARZEA e INTERIOR"," 33,907451"," R$  4.001,08 ",ATENÇÃO,,0
,3B,4220,LINGUICA SUINA 5KG CG SEARA,KG,#ERROR!,#ERROR!,"40,00",10/04/2026,#ERROR!,57,"CUIABÁ, VARZEA e INTERIOR"," 13,056293"," R$  522,25 ",ATENÇÃO,,0
,3B,10291,"REQUEIJAO CREM TRAD 1,5KG RF CATUPIRY",SH,#ERROR!,#ERROR!,"270,00",10/04/2026,#ERROR!,57,"CUIABÁ, VARZEA e INTERIOR"," 48,7413"," R$  13.160,15 ",ATENÇÃO,,0
,3B,159213,UVA PASSA PRETA 100G FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"84,00",10/04/2026,#ERROR!,57,"CUIABÁ, VARZEA e INTERIOR"," 2,840173"," R$  238,57 ",ATENÇÃO,,0
,3B,161736,HAMBURGUER BV TRAD 110G CG WESSEL,KG,#ERROR!,#ERROR!,"403,92",11/04/2026,#ERROR!,58,"CUIABÁ, VARZEA e INTERIOR"," 28,576305"," R$  11.542,54 ",ATENÇÃO,,0
,3B,10583,"CREAM CHEESE BISNAGA 1,2KG CATUPIRY",UN,#ERROR!,#ERROR!,"4,00",11/04/2026,#ERROR!,58,"CUIABÁ, VARZEA e INTERIOR"," 32,4477"," R$  129,79 ",ATENÇÃO,,0
,3B,157525,BOLINHO DUO CHOC 27G BAUDUCCO,UN,#ERROR!,#ERROR!,"75,00",11/04/2026,#ERROR!,58,"CUIABÁ, VARZEA e INTERIOR"," 0,709053"," R$  53,18 ",ATENÇÃO,,0
,3B,157525,BOLINHO DUO CHOC 27G BAUDUCCO,UN,#ERROR!,#ERROR!,"525,00",11/04/2026,#ERROR!,58,"CUIABÁ, VARZEA e INTERIOR"," 0,709053"," R$  372,25 ",ATENÇÃO,,#ERROR!
,3B,134352,SALAME TIPO ITALIANO FAT 100G CERATT,PT,#ERROR!,#ERROR!,"36,00",12/04/2026,#ERROR!,59,"CUIABÁ, VARZEA e INTERIOR"," 9,916706"," R$  357,00 ",ATENÇÃO,,0
,3B,122787,LINGUICA SABOR PEPPERONI FAT 1KG CERATTI,KG,#ERROR!,#ERROR!,"9,00",12/04/2026,#ERROR!,59,"CUIABÁ, VARZEA e INTERIOR"," 62,854573"," R$  565,69 ",ATENÇÃO,,
,3B,161733,HAMBURGUER BV COSTELA BURGUES 180G CG WE,KG,#ERROR!,#ERROR!,"181,44",12/04/2026,#ERROR!,59,"CUIABÁ, VARZEA e INTERIOR"," 28,678797"," R$  5.203,48 ",ATENÇÃO,,0
,3B,118255,SEMENTE LINHACA DOURADA 500G NUANCE,PT,#ERROR!,#ERROR!,"20,00",12/04/2026,#ERROR!,59,"CUIABÁ, VARZEA e INTERIOR"," 5,927939"," R$  118,56 ",ATENÇÃO,,
,3B,91342,MAIONESE BD 3KG HELLMANNS,BD,#ERROR!,#ERROR!,"19,00",13/04/2026,#ERROR!,60,"CUIABÁ, VARZEA e INTERIOR"," 42,471563"," R$  806,96 ",ATENÇÃO,,
,3B,91342,MAIONESE BD 3KG HELLMANNS,BD,#ERROR!,#ERROR!,"42,00",13/04/2026,#ERROR!,60,"CUIABÁ, VARZEA e INTERIOR"," 42,471563"," R$  1.783,81 ",ATENÇÃO,,
,3B,156586,SUINO COSTELA TIRAS TEMP CG 1KG EXCELENC,KG,#ERROR!,#ERROR!,"15,00",13/04/2026,#ERROR!,60,"CUIABÁ, VARZEA e INTERIOR"," 26,902667"," R$  403,54 ",ATENÇÃO,,
,3B,6459,"BACON MANTA +-3,5KG RF SEARA",KG,#ERROR!,#ERROR!,"7,72",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 21,026027"," R$  162,32 ",ATENÇÃO,,
,3B,159438,PAO HAMB AUSTR 4X75G ARO 11 CG FAZ E FOR,PT,#ERROR!,#ERROR!,"10,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 5,865626"," R$  58,66 ",ATENÇÃO,,
,3B,1224,HAMB MISTO IQF 36X56G REZENDE,KG,#ERROR!,#ERROR!,"1,87",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 12,585177"," R$  23,48 ",ATENÇÃO,,
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"490,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  2.679,79 ",ATENÇÃO,,
,3B,159438,PAO HAMB AUSTR 4X75G ARO 11 CG FAZ E FOR,PT,#ERROR!,#ERROR!,"90,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 5,865626"," R$  527,91 ",ATENÇÃO,,
,3B,137299,BATATA PALHA 800G CHEF&CO,PT,#ERROR!,#ERROR!,"360,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 10,964426"," R$  3.947,19 ",ATENÇÃO,,
,3B,110785,"MOLHO FRENCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"6,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 19,837225"," R$  119,02 ",ATENÇÃO,,
,3B,154767,LEITE COND SEMI DESN 6% 5KG PIRACANJUBA,BG,#ERROR!,#ERROR!,"208,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 48,739556"," R$  10.137,83 ",ATENÇÃO,,
,3B,154767,LEITE COND SEMI DESN 6% 5KG PIRACANJUBA,BG,#ERROR!,#ERROR!,"21,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 48,739556"," R$  1.023,53 ",ATENÇÃO,,
,3B,154767,LEITE COND SEMI DESN 6% 5KG PIRACANJUBA,BG,#ERROR!,#ERROR!,"208,00",14/04/2026,#ERROR!,61,"CUIABÁ, VARZEA e INTERIOR"," 48,739556"," R$  10.137,83 ",ATENÇÃO,,
,3B,133935,LINGUICA CALABRESA FAT 1KG RF CERATTI,KG,#ERROR!,#ERROR!,"3,00",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 34,042907"," R$  102,13 ",ATENÇÃO,,
,3B,159440,PAO HAMB CROCANTE 4X75G ARO11 CG FAZ E F,PT,#ERROR!,#ERROR!,"30,00",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 4,338032"," R$  130,14 ",ATENÇÃO,,
,3B,1113,EMP RECH PRESUNTO/QUEIJO 100G CG PERDIG,KG,#ERROR!,#ERROR!,"15,00",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 23,229459"," R$  348,44 ",ATENÇÃO,,
,3B,159427,PAO HAMB TRAD C/GERG 4X75G ARO11 FAZ E F,PT,#ERROR!,#ERROR!,"30,00",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 4,633423"," R$  139,00 ",ATENÇÃO,,
,3B,159427,PAO HAMB TRAD C/GERG 4X75G ARO11 FAZ E F,PT,#ERROR!,#ERROR!,"150,00",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 4,633423"," R$  695,01 ",ATENÇÃO,,
,3B,164232,COSTELA DIANTEIRO ANGUS CG GRAN CAMPEON,KG,#ERROR!,#ERROR!,"11,53",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 77,80054"," R$  897,04 ",ATENÇÃO,,
,3B,1284,"VG COUVE BRUXELAS 2,5KG PINGUIN",KG,#ERROR!,#ERROR!,"10,00",15/04/2026,#ERROR!,62,"CUIABÁ, VARZEA e INTERIOR"," 9,876215"," R$  98,76 ",ATENÇÃO,,
,3B,109951,SALAME DEF FAT 100G RF PERDIGAO,UN,#ERROR!,#ERROR!,"20,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 6,190003"," R$  123,80 ",ATENÇÃO,,
,3B,158071,HAMBURGUER FGO EMP SUPREME 2KG SEARA,PT,#ERROR!,#ERROR!,"61,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 42,586978"," R$  2.597,81 ",ATENÇÃO,,
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"20,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  109,38 ",ATENÇÃO,,
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"280,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  1.531,31 ",ATENÇÃO,,
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"180,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  984,41 ",ATENÇÃO,,
,3B,136083,FERMENTO EM PO QUIMICO 1KG STAR BAKE,PT,#ERROR!,#ERROR!,"85,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 13,76496"," R$  1.170,02 ",ATENÇÃO,,0
,3B,123121,BV CONTRA FILE ANGUS PORC CG BRIT,KG,#ERROR!,#ERROR!,"33,52",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 58,121162"," R$  1.948,22 ",ATENÇÃO,,0
,3B,162102,"RECH CARAMELO 1,01KG BOM PRINCIPIO",UN,#ERROR!,#ERROR!,"6,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 18,5944"," R$  111,57 ",ATENÇÃO,,
,3B,116269,GOIABADA BLC 7KG CEPERA,UN,#ERROR!,#ERROR!,"2,00",16/04/2026,#ERROR!,63,"CUIABÁ, VARZEA e INTERIOR"," 82,903665"," R$  165,81 ",ATENÇÃO,,
,3B,159439,PAO HAMB BRIOCHE 4X75G ARO11 CG FAZ E FO,PT,#ERROR!,#ERROR!,"490,00",17/04/2026,#ERROR!,64,"CUIABÁ, VARZEA e INTERIOR"," 5,468958"," R$  2.679,79 ",ATENÇÃO,,
,3B,159437,PAO HOT DOG TRAD 5X80G CG FAZ E FORNO,PT,#ERROR!,#ERROR!,"32,00",17/04/2026,#ERROR!,64,"CUIABÁ, VARZEA e INTERIOR"," 5,966903"," R$  190,94 ",ATENÇÃO,,
,3B,159437,PAO HOT DOG TRAD 5X80G CG FAZ E FORNO,PT,#ERROR!,#ERROR!,"40,00",17/04/2026,#ERROR!,64,"CUIABÁ, VARZEA e INTERIOR"," 5,966903"," R$  238,68 ",ATENÇÃO,,
,3B,105773,MANTEIGA S/SAL 5KG RF SCALA,UN,#ERROR!,#ERROR!,"2,00",17/04/2026,#ERROR!,64,"CUIABÁ, VARZEA e INTERIOR"," 175,026"," R$  350,05 ",ATENÇÃO,,
,3B,164745,FARINHA TRIGO P/PIZZA TP1 5KG GRAZIELLA,SC,#ERROR!,#ERROR!,"5,00",17/04/2026,#ERROR!,64,"CUIABÁ, VARZEA e INTERIOR"," 16,128893"," R$  80,64 ",ATENÇÃO,,
,3B,155262,FARINHA TRIGO INTEG 5KG MOTASA,UN,#ERROR!,#ERROR!,"5,00",18/04/2026,#ERROR!,65,"CUIABÁ, VARZEA e INTERIOR"," 15,219796"," R$  76,10 ",ATENÇÃO,,
,3B,164747,FARINHA TRIGO P/PASTEL TP1 5KG GRAZIELLA,SC,#ERROR!,#ERROR!,"5,00",18/04/2026,#ERROR!,65,"CUIABÁ, VARZEA e INTERIOR"," 20,280886"," R$  101,40 ",ATENÇÃO,,
,3B,105985,NUGGETS DE FRANGO 300G CG SADIA,#N/A,#ERROR!,#ERROR!,"1,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 5,106866"," R$  5,11 ",ATENÇÃO,,
,3B,951,PATO COXA C/SOBRECOXA PCT CG VILLA GERMA,KG,#ERROR!,#ERROR!,"50,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 40,895437"," R$  2.044,77 ",ATENÇÃO,,0
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"37,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  5.466,41 ",ATENÇÃO,,
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",19/04/2026,#ERROR!,66,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,
,3B,10583,"CREAM CHEESE BISNAGA 1,2KG CATUPIRY",UN,#ERROR!,#ERROR!,"222,00",20/04/2026,#ERROR!,67,"CUIABÁ, VARZEA e INTERIOR"," 32,4477"," R$  7.203,39 ",ATENÇÃO,,
,3B,159005,FARINHA TRIGO TP1 1KG FARINA,PT,#ERROR!,#ERROR!,"10,00",20/04/2026,#ERROR!,67,"CUIABÁ, VARZEA e INTERIOR"," 3,0411"," R$  30,41 ",ATENÇÃO,,
,3B,156026,"GORDURA VEGETAL 14,5KG SUPREMA",BD,#ERROR!,#ERROR!,"48,00",20/04/2026,#ERROR!,67,"CUIABÁ, VARZEA e INTERIOR"," 147,74092"," R$  7.091,56 ",ATENÇÃO,,
,3B,116151,QUEIJO PARMESAO RALADO 1KG VALEZA,PT,#ERROR!,#ERROR!,"5,00",21/04/2026,#ERROR!,68,"CUIABÁ, VARZEA e INTERIOR"," 36,27"," R$  181,35 ",ATENÇÃO,,
